name,subcategory,description,history,method,glass,garnish,abv,price,is_active
Negroni - Created by Giorgio Locatelli,from_menu,"Classic bitter-sweet aperitivo with gin, Campari and Antica Formula.","The Negroni is a classic Italian cocktail made with equal parts gin, Campari, and red vermouth. Often linked to early 1900s Florence, it became famous for its bold bitter-sweet balance and citrus aroma from orange garnish.",Stirring,Rock glass,Orange slice,28.0,12.50,TRUE
Collins 1847,from_menu,"Fresh, floral Collins-style highball with cucumber and elderflower.","A Searcys-inspired Collins-style serve named after their founding year (1847). Our Supporters’ House version combines gin, elderflower and lemon, topped with cucumber tonic for a clean refreshing finish.",Shaking,Highball,Cucumber,9.2,13.50,TRUE
National Passion,from_menu,"Fruity champagne cocktail with passion fruit martini mix.","A bright tropical celebration serve using TAILS Passion Fruit Martini-style mix topped with Champagne for a crisp sparkling finish.",Building,Flute,Orange peel,12.8,16.00,TRUE
Kir Royale,from_menu,"Elegant blackcurrant and champagne aperitif.","A sparkling twist on the classic Kir: crème de cassis with Champagne. Simple, celebratory, and elegantly balanced between berry sweetness and dry bubbles.",Building,Flute,,12.3,16.00,TRUE
French 75,from_menu,"Classic gin, lemon and champagne cocktail.","Often said to be named after the French 75mm field gun, this 1920s-era classic blends gin, lemon and sugar, finished with Champagne for a bright, crisp and celebratory drink.",Shaking,Flute,Lemon twist,15.0,16.00,TRUE
Paloma,from_menu,"Refreshing tequila, grapefruit and lime highball.","A beloved Mexican highball balancing tequila with grapefruit and lime, typically finished with grapefruit soda for a light, citrusy, refreshing serve.",Shaking,Highball,Grapefruit wedge,14.5,12.50,TRUE
Bloody Mary,from_menu,"Savory vodka and tomato brunch classic.","A bold savory classic with vodka and tomato, lifted by lemon, Worcestershire and spice. Famous as a brunch staple thanks to its rich umami character and refreshing bite.",Stirring,Highball,"Olives, rosemary, lime wedge",12.0,12.50,TRUE
Espresso Martini,from_menu,"Rich vodka, coffee and vanilla shaken martini.","Created in 1980s London, the Espresso Martini combines vodka with espresso and coffee liqueur for a rich, smooth and energizing cocktail, typically finished with coffee beans.",Shaking,Coupe,Coffee beans,21.6,12.50,TRUE
Margarita,classic,"Classic Mexican tequila, Cointreau and lime cocktail with a salted rim.","Origins debated, possibly created in the 1930s by bartender Carlos Orozco, or by socialite Margaret Sames in the 1940s. Sweet, tart and slightly smoky, served on the rocks or straight up.",Shaking,Coupe,Salted rim and lime twist,32.94,16.00,TRUE
Cosmopolitan,classic,"Vibrant vodka, Cointreau, cranberry and lime cocktail with a citrus finish.","Origins disputed, with versions appearing independently from the 1970s. John Caine brought it to San Francisco in 1987, the same year Toby Cecchini refined the recognised version in Manhattan, based on Cheryl Cook's earlier creation.",Shaking,Coupe,Lemon Twist,22,15.00,TRUE
Mojito,classic,"Refreshing Cuban highball with white rum, fresh mint, lime and soda.","One of Cuba's most famous exports, the Mojito's origins are often traced to 1930s Havana, where it became a staple at La Bodeguita del Medio. The combination of rum, lime, sugar and mint was reportedly a favourite of Ernest Hemingway, though the drink's roots may stretch further back to earlier Cuban cane spirit cocktails.",Stirring,Highball,"Mint leaves, lime wedge",6.0,16.00,TRUE
Manhattan,classic,"Bold, spirit-forward rye and vermouth classic with aromatic bitters and a silky, bittersweet finish.","A whiskey-and-vermouth classic at the heart of American cocktail culture. Its origins are debated but rooted in late-19th-century New York, when vermouth and bitters helped shape the first great wave of mixed drinks. Rye brings a firm, peppery backbone while red vermouth adds silky weight and a gently herbal finish. A dash of aromatic bitters tightens it all up with a dry, spiced snap.",Stirring,Coupe,Maraschino cherry,30.4,16.00,TRUE
Daiquiri,classic,"The definitive rum sour: crisp, clean and perfectly balanced between spirit, citrus and sweetness.","Cuba's most elegant export, the Daiquiri emerged as a practical way to tame rum's heat with lime and sugar. It became a calling card of the early 20th-century cocktail boom and earned its reputation as a bartender's benchmark — unforgiving in its simplicity, but brilliant when the balance is right.",Shaking,Coupe,Lemon twist,26.6,16.00,TRUE
Long Island Iced Tea,classic,"High-octane highball disguised as a tall, cola-tinted refresher with five white spirits and citrus.","Competing stories place its origins in Prohibition-era America, where it was designed to look like innocent iced tea, or in 1970s Long Island, New York, where it became a bar staple. Known as the 'everything in the well' cocktail, it manages to taste surprisingly cohesive — the cola pulls five spirits, citrus and sweetness into one dangerously easy-drinking package.",Stirring,Highball,Lemon slice,12.0,16.00,TRUE
White Lady,classic,"Bright, gin-forward sour with orange liqueur and lemon — crisp, elegant and precise.","A pre-Prohibition and interwar-era classic, the White Lady emerged as part of the early 20th-century shift toward lighter, citrus-led drinks. Often attributed to Harry MacElhone at Harry's New York Bar in Paris, it evolved as gin replaced earlier base spirits. Lean, zesty and uncluttered, it remains a benchmark for the citrus sour style.",Shaking,Coupe,Lemon twist,31.1,12.50,TRUE
Champagne Cocktail,classic,"Elegant, effervescent classic, Champagne lifted with cognac warmth, aromatic bitters and a slow-dissolving sugar cube.","Possibly the oldest cocktail still in regular service, the Champagne Cocktail first appeared in print around 1855 and was recorded in Jerry Thomas's Bon Vivant's Companion in 1862. Originally made without brandy, the cognac addition became standard by the late 1930s. The sugar cube does more than sweeten — it gives the carbonation a surface to cling to, creating a steady stream of fine bubbles. A drink that has graced everything from gilded-age ballrooms to mid-century Hollywood, it remains one of the simplest ways to make a glass of champagne feel like an occasion within an occasion.",Building,Flute,"Orange zest, Maraschino cherry",15.2,16.00, TRUE
Aperol Spritz,classic,"Bright, bittersweet Italian aperitivo with Aperol, prosecco and a splash of soda.","A modern staple of Italy's spritz tradition, the Aperol Spritz grew out of northern Italian aperitivo culture, where sparkling wine is lengthened with bitter aperitifs and soda. Its vivid orange colour and easy bittersweet balance helped turn it from a regional serve into one of the world's most recognisable pre-dinner drinks.",Building,Wine glass,Orange slice,10.5,12.50,TRUE
Vodka Martini,classic,"Clean, cold and spirit-forward, vodka sharpened with dry vermouth for a Martini that is smooth, crisp and quietly powerful.","A vodka-led variation on the Martini, this drink rose to prominence in the mid-20th century as vodka gained ground in the United States and drinkers began favouring lighter, less botanical spirits. It keeps the Martini's minimalist structure and ritual, but shifts the profile away from gin's aromatics toward clarity, texture and a drier, more neutral elegance.",Stirred,Coupe,"Olives or Lemon twist",36.5,14.50,TRUE
Dry Martini,classic,"Iconic, cold and spirit-forward, London dry gin sharpened with dry vermouth for a Martini that is crisp, clean and unmistakably elegant.","The Dry Martini evolved from the late-19th-century Martini family as tastes shifted away from sweeter, vermouth-heavy serves toward London dry gin and French dry vermouth. By the early 1900s it had taken on the leaner style that defines it today, becoming one of the clearest symbols of cocktail minimalism, ritual and sophistication.",Stirred,Coupe,"Olives or Lemon twist",36.5,14.50,TRUE
Irish Coffee,classic,"Warming, smooth and gently sweet, Irish whiskey, hot coffee and cream layered into a rich after-dinner classic.","Irish Coffee is widely traced to Foynes, Ireland, where chef Joe Sheridan created it in 1943 to warm weary passengers with coffee, Irish whiskey, sugar and cream. The drink later travelled to the United States and became famous at San Francisco's Buena Vista Cafe, helping turn a practical airport serve into one of the world's best-known hot cocktails.",Building,Rock glass,Coffee beans,8.7,12.50,TRUE
Whiskey Sour,classic,"Bright, silky and balanced, bourbon shaken with lemon, sugar and egg white for a sour that is both refreshing and comforting.","One of the defining drinks of the sour family, the Whiskey Sour emerged from the broader 19th-century tradition of spirit, citrus and sugar combinations that were already well established before the first printed recipes appeared in the 1860s. Over time it became a benchmark classic, especially in its bourbon-led form, prized for showing how a bold whiskey can still feel fresh, rounded and easy to drink.",Shaken,Rock glass,Dried orange,16.30,16.00,TRUE
Old Fashioned,classic,"Rich, spirit-forward and quietly complex, bourbon softened with sugar, sharpened with bitters and built for slow sipping.","The Old Fashioned traces its roots to the earliest definition of the cocktail itself: spirit, sugar, water and bitters. As bartenders in the late 19th century began embellishing whiskey cocktails with extra liqueurs and absinthe, some drinkers started asking for theirs the old-fashioned way. What remained was a stripped-back classic that still defines the idea of a serious whiskey cocktail.",Stirred,Rock glass,"Orange slice, Maraschino cherry",40.00,16.00,TRUE
Paloma Royale,classic,"Bright, crisp and celebratory, tequila lengthened with grapefruit, lime, agave and a lift of Champagne.","A modern sparkling variation on the Paloma, the Paloma Royale keeps the classic tequila-and-grapefruit core but adds Champagne for a drier, more festive finish. Rather than a long-established classic, it is best understood as a contemporary elevated riff, one that preserves the Paloma's refreshing citrus profile while giving it a sharper texture and a more celebratory edge.",Shaken,High ball,Grapefruit wedge,16.30,16.00,TRUE
Moscow Mule,classic,"Cold, bright and ginger-spiced, vodka lengthened with ginger beer and sharpened with lime for a crisp, easy-drinking classic.","A mid-century American classic, the Moscow Mule was created in Los Angeles around 1941 during the push to popularise vodka in the United States. Built from vodka, ginger beer and lime, it became one of the defining long drinks of the era, recognised as much for its sharp, refreshing profile as for its now-iconic copper mug presentation.",Building,Rock glass,Lime wedge,10.00,16.00,TRUE
Sidecar,classic,"Bright, poised and spirit-forward, cognac, Cointreau and lemon shaken into a sour that is crisp, elegant and finely balanced.","A great brandy sour of the early 20th century, the Sidecar is usually linked to the years around World War I, with competing origin stories placing it in either London or Paris. However it began, it quickly became one of the defining templates of the classic cocktail canon: a rich base spirit sharpened by citrus and lifted by orange liqueur into something both polished and bracing.",Shaken,Coupe,Lemon twist,31.10,16.00,TRUE
Test cocktail,classic,"Test cocktail without recipe","no history needed",shaken,rock glass,not needed,20.0,200.0,TRUE
